Player_ID,Total_Games,Total_Wins,Average_Rating,Win_Rate_%,Player_Tier
celot,66,0,1820.0,0.0,Expert
celtica,264,264,1625.0,100.0,Club Player
cem2237,1,1,1585.0,100.0,Club Player
cemalsertdemir,2,1,1908.0,50.0,Expert
cementeriodepeones,46,23,1500.0,50.0,Casual
cemki22,2,1,1532.0,50.0,Club Player
cempol,142,0,1573.0,0.0,Club Player
cengiz_yildiz,1,0,1485.0,0.0,Casual
cengozhan,1,0,1351.0,0.0,Casual
cenkulas,2,2,1726.0,100.0,Club Player
centrolenidae,2,2,1416.0,100.0,Casual
centu,89,89,1564.0,100.0,Club Player
centuri,1,1,1538.0,100.0,Club Player
cepelin,24,0,1655.0,0.0,Club Player
cerdilia,1,1,1417.0,100.0,Casual
cerebral,1,0,1083.0,0.0,Beginner
cerebralassassin19,142,142,2036.0,100.0,Expert
cerete,1,1,1976.0,100.0,Expert
cersad,65,0,1496.0,0.0,Casual
cerseisminge,27,10,1390.0,37.04,Casual
cesar1945,2,1,1294.0,50.0,Casual
cesar251245,1,0,1496.0,0.0,Casual
cesarauguste42,142,142,1188.0,100.0,Beginner
cesaringy,1,1,1613.0,100.0,Club Player
cesartgl,132,132,1390.0,100.0,Casual
cesarvampi7,1,1,1500.0,100.0,Casual
cesc,2,0,1055.0,0.0,Beginner
cesc7046,142,142,2108.0,100.0,Expert
cescos,5,5,1500.0,100.0,Casual
cesium,2,1,1774.0,50.0,Club Player
ceslaus_front,123,0,1816.0,0.0,Expert
cesp62,159,93,1952.0,58.49,Expert
cessanz06,426,284,2047.0,66.67,Expert
cevat,2,2,1542.0,100.0,Club Player
ceve,1,0,1529.0,0.0,Club Player
cexercisse,2,1,1964.0,50.0,Expert
ceyelan,1,1,1902.0,100.0,Expert
cfazuero1,1,1,1555.0,100.0,Club Player
cfc52,20,3,1596.0,15.0,Club Player
cfloyd,142,142,1497.0,100.0,Casual
cfvjujy,396,396,1556.0,100.0,Club Player
ch111,79,0,1550.0,0.0,Club Player
ch7130156,52,0,1359.0,0.0,Casual
chad628,3,3,1119.0,100.0,Beginner
chadez,1,0,1500.0,0.0,Casual
chadi,30,0,1531.0,0.0,Club Player
chadley,1,0,1144.0,0.0,Beginner
chago1,1,0,1851.0,0.0,Expert
chahvarz2010,142,142,1483.0,100.0,Casual
chaiiir,43,43,1371.0,100.0,Casual
chairman,13,0,1577.0,0.0,Club Player
chaittanya,142,0,1240.0,0.0,Casual
chakuli,142,0,1335.0,0.0,Casual
chalitoo,111,0,1716.0,0.0,Club Player
chalomaria,2,0,1686.0,0.0,Club Player
chambaru,46,46,1214.0,100.0,Casual
chameleon,23,0,1448.0,0.0,Casual
chami18,43,0,1302.0,0.0,Casual
chanakya,142,142,1405.0,100.0,Casual
chandu007,2,1,1726.0,50.0,Club Player
chanta1950,132,0,1582.0,0.0,Club Player
chaose,1208,536,1787.0,44.37,Club Player
chaosfail44,1,0,1578.0,0.0,Club Player
chapavol,1,0,1786.0,0.0,Club Player
chapess,39,0,1451.0,0.0,Casual
chapson,3,1,1433.0,33.33,Casual
charada,2,2,1550.0,100.0,Club Player
charafovic,39,39,1241.0,100.0,Casual
chardy1203,1,0,972.0,0.0,Beginner
charkie,396,0,1265.0,0.0,Casual
charles12345,14,14,1603.0,100.0,Club Player
charles1259,1,0,1656.0,0.0,Club Player
charles8,55,0,879.0,0.0,Beginner
charlesturner,61,0,1340.0,0.0,Casual
charlesvilar,1,1,2031.0,100.0,Expert
charlie-z-said,5,5,1341.0,100.0,Casual
charliemayne,1,0,1463.0,0.0,Casual
charllyy,1,0,1235.0,0.0,Casual
charlouu,1,0,1414.0,0.0,Casual
charlycharly,1,0,1626.0,0.0,Club Player
charlyming,1,0,1343.0,0.0,Casual
charlysr3,1,0,1102.0,0.0,Beginner
charlysunday,1,1,1520.0,100.0,Club Player
charlytb,20,20,2485.0,100.0,Master
charnock,1,0,1698.0,0.0,Club Player
charzi,128,117,1566.0,91.41,Club Player
chases,292,137,1195.0,46.92,Beginner
chasesims,2,0,1268.0,0.0,Casual
chathurawdilshan,1,1,1721.0,100.0,Club Player
chatochess,1,1,1514.0,100.0,Club Player
chatogar1,1,0,1424.0,0.0,Casual
chaton_31,112,112,1529.0,100.0,Club Player
chavez,45,0,1453.0,0.0,Casual
chavosh63,39,39,1891.0,100.0,Expert
chciewoj,134,134,1554.0,100.0,Club Player
che33,28,28,1501.0,100.0,Club Player
chean63,35,35,2262.0,100.0,Master
cheapsteve,1,0,1634.0,0.0,Club Player
cheateralert,287,285,1569.0,99.3,Club Player
chebyshev,1,0,1843.0,0.0,Expert
check-masta,134,0,1232.0,0.0,Casual
check-mate95,78,78,1099.0,100.0,Beginner
check__mate,16,16,1764.0,100.0,Club Player
checkcheckcheckmate,284,284,1318.0,100.0,Casual
checkers-network,1,1,1908.0,100.0,Expert
checkersman,1,1,1823.0,100.0,Expert
checkerssux,92,1,1400.0,1.09,Casual
checkingball,1,0,1318.0,0.0,Casual
checkmate-777,111,111,1702.0,100.0,Club Player
checkmate1,142,0,1408.0,0.0,Casual
checkmate3141,426,284,1779.0,66.67,Club Player
checkortreats,284,284,1657.0,100.0,Club Player
checkthenmate,142,142,1601.0,100.0,Club Player
cheeky,1,1,1914.0,100.0,Expert
chees29,2254,459,1213.0,20.36,Casual
cheesover,1,0,1414.0,0.0,Casual
cheesseburger,1,0,1545.0,0.0,Club Player
cheezylester,1,0,1500.0,0.0,Casual
chefe7,134,0,1482.0,0.0,Casual
cheflodi,1,0,1293.0,0.0,Casual
chegovny,1,1,1550.0,100.0,Club Player
cheikh35,30,0,1301.0,0.0,Casual
cheini,1,0,1983.0,0.0,Expert
chelahov,1,1,1332.0,100.0,Casual
chelis1,1,1,1306.0,100.0,Casual
chelovochek,1,0,1627.0,0.0,Club Player
chelsey_00,134,134,1394.0,100.0,Casual
chelsey_000,39,0,1688.0,0.0,Club Player
chemdiablo666,7,7,1856.0,100.0,Expert
chemistry4ever,1,0,1681.0,0.0,Club Player
chemvell,1,0,1824.0,0.0,Expert
chenc2o2,142,142,1217.0,100.0,Casual
chenglun1,2,1,1776.0,50.0,Club Player
chenla,3,2,1427.0,66.67,Casual
chennis,84,84,1922.0,100.0,Expert
chenthurana,1,0,1357.0,0.0,Casual
cheron,1,1,1985.0,100.0,Expert
chertyvgolove,142,0,1655.0,0.0,Club Player
chery,132,132,1944.0,100.0,Expert
ches_acc_cuandrej,123,123,1306.0,100.0,Casual
cheshirekat,1,1,1841.0,100.0,Expert
chess-baby1,1,0,1161.0,0.0,Beginner
chess-bob,36,18,1508.0,50.0,Club Player
chess-brahs,1154,350,1959.0,30.33,Expert
chess-king-26,1,1,2005.0,100.0,Expert
chess-lex,1,0,1419.0,0.0,Casual
chess-network,40,40,1500.0,100.0,Casual
chess-player001,3,2,1807.0,66.67,Expert
chess-stat,237,237,2500.0,100.0,Master
chess-wander,142,142,1744.0,100.0,Club Player
chess0158,2,2,2006.0,100.0,Expert
chess100000,1,1,1717.0,100.0,Club Player
chess12377,53,0,1908.0,0.0,Expert
chess133,1,0,1408.0,0.0,Casual
chess200,224,0,1445.0,0.0,Casual
chess4life,84,0,2358.0,0.0,Master
chess4life23,84,84,2210.0,100.0,Master
chess5345,1,0,1540.0,0.0,Club Player
chess7127,1,0,1626.0,0.0,Club Player
chess965,1,1,1706.0,100.0,Club Player
chess_bros123,315,0,1363.0,0.0,Casual
chess_guru_99,30,30,1257.0,100.0,Casual
chess_king3,738,691,1474.0,93.63,Casual
chess_legend_rus,1,1,2068.0,100.0,Expert
chess_mechess100,1,0,2010.0,0.0,Expert
chess_move,130,65,1258.0,50.0,Casual
chess_pro_107,268,134,1910.0,50.0,Expert
chess_rat,142,0,1887.0,0.0,Expert
chess_scout,1,1,1708.0,100.0,Club Player
chess_student1974,132,132,1579.0,100.0,Club Player
chessace,142,0,1341.0,0.0,Casual
chessagent0,30,30,1668.0,100.0,Club Player
chessamura,1,0,1574.0,0.0,Club Player
chessandgrace,30,30,1211.0,100.0,Casual
chessastur,2,1,1378.0,50.0,Casual
chessatnight,47,47,1700.0,100.0,Club Player
chessatom,24,24,1579.0,100.0,Club Player
chessatwar_99,19,15,1511.0,78.95,Club Player
chessaurio,26,0,1922.0,0.0,Expert
chessbaazer,1,1,1822.0,100.0,Expert
