increment_code,total_time,initial_time,increment,Speed_Category,Time_ID
7+3,8.45,7,3,Rapid,158
6+5,14.25,6,5,Rapid,159
15+15,32.75,15,15,Classic,160
10+2,10.2,10,2,Rapid,161
15+15,25.0,15,15,Classic,162
15+15,22.25,15,15,Classic,163
15+15,26.0,15,15,Classic,164
25+5,30.416666666666664,25,5,Classic,165
25+5,31.75,25,5,Classic,166
25+5,28.75,25,5,Classic,167
25+5,29.33333333333333,25,5,Classic,168
5+7,9.433333333333334,5,7,Rapid,169
8+10,23.33333333333333,8,10,Rapid,170
8+2,10.133333333333333,8,2,Rapid,171
5+5,5.833333333333333,5,5,Rapid,172
20+8,31.333333333333336,20,8,Rapid,173
15+15,16.0,15,15,Classic,174
10+2,13.366666666666667,10,2,Rapid,175
25+25,36.25,25,25,Classic,176
15+10,24.83333333333333,15,10,Rapid,177
5+8,7.0,5,8,Rapid,178
5+8,11.933333333333334,5,8,Rapid,179
5+8,13.666666666666666,5,8,Rapid,180
5+5,7.583333333333333,5,5,Rapid,181
15+5,21.33333333333333,15,5,Rapid,182
15+5,25.08333333333333,15,5,Rapid,183
15+10,33.33333333333333,15,10,Rapid,184
15+3,18.35,15,3,Rapid,185
30+5,31.416666666666668,30,5,Classic,186
25+15,34.75,25,15,Classic,187
10+10,16.166666666666664,10,10,Rapid,188
15+15,23.5,15,15,Classic,189
15+7,18.5,15,7,Rapid,190
8+8,9.866666666666667,8,8,Rapid,191
5+9,11.45,5,9,Rapid,192
5+8,10.466666666666669,5,8,Rapid,193
16+7,21.71666666666667,16,7,Rapid,194
10+10,16.333333333333332,10,10,Rapid,195
5+5,10.833333333333332,5,5,Rapid,196
10+7,17.233333333333334,10,7,Rapid,197
5+8,13.4,5,8,Rapid,198
7+5,10.833333333333332,7,5,Rapid,199
5+5,8.166666666666666,5,5,Rapid,200
5+5,13.916666666666666,5,5,Rapid,201
5+5,8.5,5,5,Rapid,202
5+5,7.916666666666666,5,5,Rapid,203
5+5,15.166666666666666,5,5,Rapid,204
5+5,5.166666666666667,5,5,Rapid,205
